scrip_code,symbol,name,sector,industry,market_cap
342,CAMS,COMPUTER AGE MNGT SER LTD,,,
18060,CONCORDBIO,CONCORD BIOTECH LIMITED,,,
28764,CEWATER,CONCORD ENVIRO SYSTEMS L,,,
10238,CONFIPET,CONFIDENCE PETRO IND LTD.,,,
4749,CONCOR,CONTAINER CORP OF IND LTD,,,
17477,CONTROLPR,CONTROL PRINT LIMITED,,,
533167,COROENGG,COROMANDEL ENGINEERING COMPANY,,,
739,COROMANDEL,COROMANDEL INTERNTL. LTD,,,
760254,CORONA,CORONA REMEDIES LIMITED,,,
742,COSMOFIRST,COSMO FIRST LIMITED,,,
2328,CPSEETF,CPSE ETF,,,
2854,CRAFTSMAN,CRAFTSMAN AUTOMATION LTD,,,
522001,CRANEX,CRANEX LTD.,,,
11155,CNL,CREATIVE NEWTECH LIMITED,,,
4421,CREDITACC,CREDITACCESS GRAMEEN LTD,,,
20878,MUFTI,CREDO BRANDS MARKETING L,,,
757,CRISIL,CRISIL LTD,,,
757850,CRIZAC,CRIZAC LIMITED,,,
17094,CROMPTON,CROMPT GREA CON ELEC LTD,,,
14966,CSBBANK,CSB BANK LIMITED,,,
10350,CSLFINANCE,CSL FINANCE LIMITED,,,
4064,CUBEXTUB,CUBEX TUBINGS LTD,,,
1901,CUMMINSIND,CUMMINS INDIA LTD,,,
18520,CUPID,CUPID LIMITED,,,
543378,CWD,CWD Limited,,,
6051,CYBERTECH,CYBERTECH SYSTEMS & SOFTW,,,
17187,CYIENTDLM,CYIENT DLM LIMITED,,,
5748,CYIENT,CYIENT LIMITED,,,
544338,CAPINVIT,Capital Infra Trust,,,
542627,CHANDNIMACH,Chandni Machines Limited,,,
544546,CHTR,Chatterbox Technologies Limite,,,
543899,CUBEINVIT,Cube Highways Trust,,,
16900,DPWIRES,D P WIRES LIMITED,,,
17851,DLINKINDIA,D-LINK INDIA LTD,,,
936,DPABHUSHAN,D. P. ABHUSHAN LIMITED,,,
17881,DBCORP,D.B.CORP LTD,,,
772,DABUR,DABUR INDIA LTD,,,
8075,DALBHARAT,DALMIA BHARAT LIMITED,,,
781,DALMIASUG,DALMIA BHARAT SUG IN LTD,,,
28662,DAMCAPITAL,DAM CAPITAL ADVISORS LTD,,,
7358,DATAPATTNS,DATA PATTERNS INDIA LTD,,,
11423,DATAMATICS,DATAMATICS GLOBAL SER LTD,,,
13725,DCBBANK,DCB BANK LIMITED,,,
544702,DCMSIL,DCM SHRIRAM INTERNATIONAL LIMI,,,
811,DCMSHRIRAM,DCM SHRIRAM LIMITED,,,
11895,DCXINDIA,DCX SYSTEMS LIMITED,,,
29098,DDEVPLSTIK,DDEV PLASTIKS IND LTD,,,
4279,DENORA,DE NORA INDIA LIMITED,,,
14838,DECCANCE,DECCAN CEMENTS LIMITED,,,
762638,DECNGOLD,DECCAN GOLD MINES LTD.,,,
3292,DEEPINDS,DEEP INDUSTRIES LIMITED,,,
827,DEEPAKFERT,DEEPAK FERTILIZERS & PETR,,,
19943,DEEPAKNTR,DEEPAK NITRITE LTD,,,
514030,DEEPAKSP,DEEPAK SPINNERS LTD.,,,
9599,DELHIVERY,DELHIVERY LIMITED,,,
15044,DELTACORP,DELTA CORP LIMITED,,,
537536,DENISCHEM,DENIS CHEM LAB LTD,,,
29256,DENTA,DENTA WATER N INFRA SOL L,,,
5373,DEVYANI,DEVYANI INTERNATIONAL LTD,,,
857,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,,,
24409,DHANUKA,DHANUKA AGRITECH LTD,,,
13001,DHARMAJ,DHARMAJ CROP GUARD LTD,,,
531237,DHRUVCA,DHRUVA CAPITAL SERVICES LTD.,,,
18644,DIAMINESQ,DIAMINES & CHEMICALS LTD,,,
18543,DIACABS,DIAMOND POWER INFRA LTD,,,
25672,DIFFNKG,DIFFUSION ENGINEERS LTD,,,
544684,DIGILOGIC,DIGILOGIC SYSTEMS LIMITED,,,
757515,DIGITIDE,DIGITIDE SOLUTIONS LTD,,,
544798,DIKSHA,DIKSHA POLYMERS LIMITED,,,
18086,DBL,DILIP BUILDCON LIMITED,,,
21704,DCAL,DISHMAN CARBO AMCIS LTD,,,
14479,DIVGIITTS,DIVGI TORQTRANSFER SYST L,,,
10940,DIVISLAB,DIVI S LABORATORIES LTD,,,
21690,DIXON,DIXON TECHNO (INDIA) LTD,,,
12749,DJML,DJ MEDIAPRINT & LOG LTD,,,
14732,DLF,DLF LIMITED,,,
6973,DMCC,DMCC SPECIALITY CHEMICALS,,,
4822,DODLA,DODLA DAIRY LIMITED,,,
12124,DOLATALGO,DOLAT ALGOTECH LIMITED,,,
20560,DOLLAR,DOLLAR INDUSTRIES LIMITED,,,
20551,DOMS,DOMS INDUSTRIES LIMITED,,,
13839,DONEAR,DONEAR IND. LIMITED,,,
29452,AGARWALEYE,DR AGARWALS HEALTH CARE L,,,
11654,LALPATHLAB,DR. LAL PATH LABS LTD.,,,
881,DRREDDY,DR. REDDY S LABORATORIES,,,
10859,DREAMFOLKS,DREAMFOLKS SERVICES LTD,,,
11271,DREDGECORP,DREDGING CORP OF INDIA,,,
544568,ZAPPFRESH,DSM Fresh Foods Limited,,,
1927,LIQUIDETF,DSP LIQUID ETF,,,
13644,BANKADD,DSPAMC - DSPBANK,,,
15356,GOLDADD,DSPAMC - DSPGOLD,,,
6606,EQUAL50ADD,DSPAMC - DSPNEWETF,,,
7451,NIFTYADD,DSPAMC - DSPNIFTY,,,
17616,PSUBANKADD,DSPAMC - DSPPSBKETF,,,
10761,SILVERADD,DSPAMC - DSPSILVETF,,,
22592,HEALTHADD,DSPAMC - HEALTHADD,,,
23407,LIQUIDADD,DSPAMC - LIQUIDADD,,,
25171,TOP10ADD,DSPAMC - TOP10ADD,,,
25690,DSSL,DYNACONS SYS & SOLN LTD,,,
4525,DYNAMATECH,DYNAMATIC TECHNOLOGIES,,,
10417,DYCL,DYNAMIC CABLES LIMITED,,,
21314,DYNPRO,DYNEMIC PRODUCTS LIMITED,,,
544677,DEFRAIL,Defrail Technologies Limited,,,
544387,DESCO,Desco Infratech Limited,,,
8937,E2E,E2E NETWORKS LIMITED,,,
15179,ECLERX,ECLERX SERVICES LTD,,,
